REGION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,FLOODS,ANNUAL_RAINFALL
region_0,1019.19,1015.13,480.62,337.45,120.03,24.64,32.67,20.35,384.29,482.67,572.5,954.09,YES,5443.63
region_1,699.42,734.47,500.37,435.56,184.67,42.7,9.94,4.42,308.72,195.12,265.09,982.03,NO,4362.509999999999
region_2,915.74,861.14,513.1,508.03,103.74,76.98,32.48,25.2,420.69,196.23,536.55,870.43,NO,5060.31
region_3,925.75,820.64,675.39,411.59,127.19,70.56,3.24,14.36,483.5,338.19,277.03,765.67,NO,4913.11
region_4,1138.96,1152.19,579.1,401.8,198.09,68.2,28.51,19.69,191.79,680.42,640.94,500.62,YES,5600.31
region_5,648.52,1114.78,650.2,514.81,188.61,24.34,41.8,30.32,330.19,282.09,382.36,801.51,NO,5009.530000000001
region_6,1086.81,781.1,497.02,442.99,139.13,53.53,34.43,13.57,300.03,267.23,592.62,969.19,YES,5177.6500000000015
region_7,982.36,1020.18,569.78,591.95,238.47,40.03,23.38,12.4,211.13,349.13,722.71,946.27,YES,5707.790000000001
region_8,821.16,819.17,680.42,496.26,151.65,69.07,50.78,1.42,227.9,188.0,274.99,915.62,NO,4696.4400000000005
region_9,969.14,797.4,728.16,322.12,140.16,69.22,19.35,18.33,314.61,230.87,769.2,956.83,YES,5335.389999999999
region_10,1169.09,812.08,694.74,520.58,76.22,70.52,22.26,12.09,354.4,680.05,688.0,818.48,YES,5918.51
region_11,744.7,1128.68,676.12,351.04,135.38,63.56,27.61,8.46,408.81,582.67,480.73,655.51,YES,5263.27
region_12,630.76,1084.63,472.94,392.56,147.5,78.71,10.64,33.09,175.83,601.91,310.21,879.91,YES,4818.69
region_13,1107.14,941.97,617.08,554.56,168.5,51.1,55.43,19.19,243.69,580.81,490.49,510.26,YES,5340.219999999999
region_14,1147.85,865.35,473.28,510.49,219.9,58.2,11.85,6.14,233.76,219.84,634.25,871.19,YES,5252.0999999999985
region_15,1065.01,965.95,733.99,396.94,75.13,63.28,14.27,9.03,440.13,597.54,667.65,824.35,YES,5853.27
region_16,1014.7,747.46,680.92,434.21,154.71,78.28,22.54,33.89,196.52,261.06,383.54,919.14,YES,4926.97
region_17,1071.35,1079.92,700.24,320.63,83.2,77.91,30.77,19.54,164.69,270.64,364.76,557.9,YES,4741.549999999999
region_18,739.94,1036.69,622.07,514.78,156.69,26.24,13.43,22.88,195.87,627.91,237.78,775.95,YES,4970.23
region_19,736.29,1122.11,747.67,455.35,133.03,65.01,14.51,2.7,202.03,156.52,427.46,723.7,YES,4786.38
region_20,1161.05,869.41,701.55,433.28,91.47,65.78,40.68,33.86,359.71,330.63,478.49,773.47,YES,5339.38
region_21,708.5,764.66,496.96,480.56,193.7,39.65,30.06,34.06,435.93,352.09,436.04,534.91,NO,4507.12
region_22,637.39,756.91,627.26,400.54,141.64,22.21,51.35,3.16,347.5,131.29,638.6,656.56,NO,4414.41
region_23,901.2,1072.49,555.61,343.74,154.67,53.46,58.03,31.72,237.93,409.07,597.66,912.6,YES,5328.18
region_24,957.66,980.11,492.79,361.05,188.33,66.75,56.11,16.59,290.3,218.94,640.05,983.66,YES,5252.34
region_25,638.44,1156.64,700.63,563.05,234.49,51.2,22.67,34.22,170.2,592.36,348.61,889.79,YES,5402.299999999999
region_26,714.66,797.25,511.73,362.08,102.48,60.54,5.49,22.86,175.43,405.41,656.78,803.22,NO,4617.929999999999
region_27,894.53,998.62,704.54,392.58,86.71,27.43,55.67,7.14,439.05,606.11,369.53,825.37,YES,5407.28
region_28,620.37,1173.14,648.5,367.48,166.4,67.67,51.0,2.73,178.43,579.61,422.21,948.86,YES,5226.4
region_29,1137.07,1113.82,519.13,400.46,221.69,33.43,57.21,14.99,391.04,335.0,261.69,871.43,YES,5356.96
region_30,640.02,863.56,654.22,336.62,111.1,50.08,8.18,3.43,485.09,151.25,727.62,639.36,NO,4670.53
region_31,927.42,1032.61,460.84,570.68,81.2,69.77,50.44,18.37,333.97,264.96,665.86,866.2,YES,5342.319999999999
region_32,1037.51,858.84,601.85,374.9,213.84,65.82,7.59,2.71,319.18,315.16,411.57,778.69,NO,4987.66
region_33,735.03,834.72,630.69,503.41,92.61,69.93,56.18,8.89,224.95,390.88,261.16,850.1,NO,4658.549999999999
region_34,745.01,742.2,646.59,514.34,155.81,32.51,5.37,10.31,128.77,170.83,591.96,662.52,NO,4406.22
region_35,689.11,1195.97,580.42,525.66,167.22,79.72,1.85,32.6,259.35,289.92,272.97,986.62,YES,5081.409999999999
region_36,1077.42,1100.02,509.33,511.55,181.59,76.15,24.03,5.08,406.77,420.49,402.3,626.37,YES,5341.1
region_37,970.28,708.28,481.65,484.05,226.2,30.05,53.05,22.24,423.87,384.59,479.96,564.72,NO,4828.9400000000005
region_38,1030.24,988.82,533.41,319.82,97.63,63.2,24.56,22.38,456.16,578.1,615.52,995.78,YES,5725.62
region_39,815.28,1003.72,628.15,444.38,146.4,71.28,5.12,32.89,290.3,556.93,679.75,695.98,NO,5370.18
region_40,1047.81,964.43,749.11,402.71,157.83,37.66,49.67,16.66,226.75,335.7,522.4,743.37,YES,5254.099999999999
region_41,995.41,754.18,565.56,525.64,231.8,47.88,24.7,27.22,159.48,561.85,748.7,769.22,NO,5411.639999999999
region_42,680.27,1119.72,490.04,524.87,155.22,74.71,9.21,5.08,370.18,576.64,781.67,670.99,YES,5458.599999999999
region_43,652.28,711.29,502.45,373.09,100.76,24.21,9.29,24.87,315.55,419.97,665.07,761.26,NO,4560.09
region_44,1098.86,1001.11,674.33,508.48,73.56,39.6,34.58,15.6,149.67,632.92,570.14,851.54,YES,5650.389999999999
region_45,611.01,709.32,552.04,453.98,169.31,61.07,5.51,14.27,411.2,434.46,542.42,597.18,NO,4561.77
region_46,1165.23,1163.28,528.22,521.82,153.32,74.73,23.18,7.41,189.95,532.21,712.93,588.49,YES,5660.77
region_47,876.56,1104.04,616.07,326.74,223.45,61.56,42.04,3.55,401.74,624.15,498.19,938.42,YES,5716.509999999999
region_48,768.07,800.33,660.84,354.47,190.66,37.54,29.53,14.93,303.58,651.3,734.05,594.6,NO,5139.900000000001
region_49,1089.76,855.95,521.33,577.75,142.62,40.55,32.91,7.89,222.33,675.11,744.88,678.47,YES,5589.55
region_50,979.93,1062.01,699.42,446.82,230.38,45.89,34.5,21.05,188.05,224.07,405.21,904.6,YES,5241.930000000001
region_51,1083.63,767.0,601.03,567.49,121.57,73.93,8.08,4.09,423.87,369.27,331.74,860.19,YES,5211.889999999999
region_52,632.44,1161.27,608.27,423.01,172.17,46.04,2.62,24.63,449.64,279.27,600.3,546.55,NO,4946.21
region_53,1012.29,1007.71,654.51,594.23,169.81,47.06,23.02,15.18,270.25,506.7,362.13,884.34,YES,5547.2300000000005
region_54,868.61,984.03,523.1,321.79,117.04,24.94,35.13,20.75,285.18,466.61,784.92,996.04,YES,5428.139999999999
region_55,771.58,721.16,700.12,350.52,164.34,22.89,54.19,8.9,142.51,672.33,312.58,623.86,NO,4544.98
region_56,607.62,762.86,703.13,553.4,72.23,36.31,26.1,5.6,253.01,183.46,589.37,801.07,NO,4594.16
region_57,1030.77,1080.37,673.96,529.67,163.06,65.88,42.38,33.33,304.31,325.03,615.17,692.01,YES,5555.9400000000005
region_58,608.03,815.68,585.21,363.89,183.32,71.3,13.75,34.3,351.24,324.99,471.82,782.16,NO,4605.6900000000005
region_59,602.04,854.37,644.88,511.2,78.43,32.18,9.16,33.69,242.54,299.59,614.09,605.3,NO,4527.469999999999
region_60,1022.03,719.11,587.79,472.86,177.11,40.89,32.42,7.58,150.92,470.63,256.69,734.73,NO,4672.76
region_61,754.39,1135.33,528.92,509.22,77.28,64.0,43.07,3.0,362.11,343.99,367.26,836.7,YES,5025.27
region_62,909.83,984.58,642.04,488.81,97.1,78.05,30.65,19.0,131.15,333.15,781.23,591.22,YES,5086.81
region_63,1143.69,794.61,488.89,420.86,185.74,51.79,53.27,12.21,326.54,653.23,597.85,989.75,YES,5718.43
region_64,1142.59,946.68,573.19,348.87,158.62,26.84,51.34,31.07,183.42,141.06,656.07,965.02,YES,5224.77
region_65,1045.95,1150.39,604.08,353.44,159.41,28.64,56.57,21.99,336.95,448.33,285.45,871.47,YES,5362.67
region_66,763.58,1080.14,546.01,450.5,114.87,68.33,40.67,17.06,390.16,287.46,336.04,616.49,NO,4711.31
region_67,942.37,719.14,741.81,389.54,77.73,44.88,35.92,29.98,214.27,540.7,471.13,951.43,YES,5158.900000000001
