0,1,2,3,4,5,6,7,8,9,10
567,1078,1120.0,,,,,,,,
557,574,,,,,,,,,
1823,1442,2528.0,2183.0,481.0,,,,,,
2535,1796,,,,,,,,,
2284,2424,453.0,,,,,,,,
2010,2011,,,,,,,,,
223,112,,,,,,,,,
2528,2528,,,,,,,,,
465,720,921.0,1913.0,1748.0,2412.0,2444.0,,,,
194,1823,,,,,,,,,
2734,2736,,,,,,,,,
2161,2162,868.0,1310.0,220.0,2070.0,150.0,,,,
1511,191,,,,,,,,,
797,797,,,,,,,,,
2474,2303,1950.0,,,,,,,,
224,116,2173.0,2528.0,,,,,,,
2187,2346,,,,,,,,,
488,681,,,,,,,,,
1077,2000,,,,,,,,,
2424,1823,1307.0,,,,,,,,
1442,1827,2424.0,1780.0,1776.0,166.0,,,,,
2216,1827,2284.0,,,,,,,,
525,797,1442.0,,,,,,,,
1775,1773,1774.0,,,,,,,,
2178,2010,1951.0,1621.0,1310.0,868.0,,,,,
1823,1827,2183.0,2151.0,2072.0,2424.0,2442.0,,,,
875,1408,116.0,,,,,,,,
791,1442,,,,,,,,,
1428,194,224.0,,,,,,,,
1443,1391,,,,,,,,,
1776,1774,541.0,,,,,,,,
561,543,541.0,1774.0,1778.0,578.0,,,,,
678,2199,2528.0,,,,,,,,
2183,2424,2404.0,,,,,,,,
1621,2178,,,,,,,,,
2424,2535,1793.0,,,,,,,,
2528,1777,,,,,,,,,
2442,1823,678.0,219.0,,,,,,,
1556,1039,,,,,,,,,
220,215,191.0,541.0,1776.0,2643.0,,,,,
1778,1775,,,,,,,,,
1827,1778,2199.0,,,,,,,,
1454,1431,1034.0,1033.0,,,,,,,
1862,1996,1031.0,116.0,219.0,,,,,,
1646,557,,,,,,,,,
2424,1827,1823.0,,,,,,,,
2265,524,,,,,,,,,
1776,541,525.0,524.0,,,,,,,
541,541,,,,,,,,,
197,140,166.0,2284.0,1823.0,1827.0,2199.0,2072.0,2424.0,2216.0,
353,1431,1454.0,2329.0,,,,,,,
543,557,541.0,1778.0,1776.0,1774.0,160.0,,,,
1443,1408,481.0,875.0,,,,,,,
1827,2424,2442.0,541.0,874.0,,,,,,
2442,1827,975.0,,,,,,,,
1039,1861,1556.0,2313.0,,,,,,,
1959,2268,2268.0,2424.0,950.0,481.0,1862.0,2142.0,,,
215,235,,,,,,,,,
541,1827,1823.0,2183.0,,,,,,,
1442,541,,,,,,,,,
2329,2329,,,,,,,,,
197,195,150.0,2817.0,,,,,,,
2734,2735,2736.0,,,,,,,,
2424,166,,,,,,,,,
2424,2442,2199.0,,,,,,,,
1915,1431,1454.0,,,,,,,,
524,919,,,,,,,,,
2199,2424,,,,,,,,,
525,541,1778.0,1775.0,1776.0,791.0,166.0,150.0,191.0,194.0,215.0
884,1443,2377.0,,,,,,,,
1134,813,,,,,,,,,
2416,994,,,,,,,,,
2735,2734,2736.0,,,,,,,,
2101,978,,,,,,,,,
374,975,,,,,,,,,
128,219,,,,,,,,,
701,2373,,,,,,,,,
2735,2734,2736.0,,,,,,,,
2733,2733,2663.0,,,,,,,,
875,129,223.0,223.0,2000.0,2421.0,,,,,
1133,1145,,,,,,,,,
975,1253,,,,,,,,,
975,976,194.0,,,,,,,,
1253,919,,,,,,,,,
2325,2522,,,,,,,,,
1050,1050,,,,,,,,,
2222,1852,,,,,,,,,
2736,2863,,,,,,,,,
922,924,,,,,,,,,
922,924,,,,,,,,,
2523,978,,,,,,,,,
2284,2424,2442.0,2528.0,2173.0,1823.0,1136.0,,,,
975,884,,,,,,,,,
2329,919,,,,,,,,,
2523,51,,,,,,,,,
141,194,976.0,128.0,,,,,,,
467,884,975.0,976.0,2329.0,,,,,,
978,1443,,,,,,,,,
2483,2831,,,,,,,,,
975,976,1443.0,976.0,,,,,,,
976,978,1443.0,,,,,,,,
1823,1253,2424.0,2442.0,947.0,192.0,,,,,
1601,730,2107.0,2528.0,,,,,,,
2072,1827,,,,,,,,,
2445,701,,,,,,,,,
813,167,,,,,,,,,
884,1510,,,,,,,,,
51,223,,,,,,,,,
1796,2222,,,,,,,,,
1291,1600,,,,,,,,,
894,919,,,,,,,,,
218,2329,,,,,,,,,
478,1252,2329.0,,,,,,,,
892,2376,,,,,,,,,
1133,2329,,,,,,,,,
2329,68,,,,,,,,,
2810,2810,,,,,,,,,
1443,218,,,,,,,,,
2446,1156,,,,,,,,,
919,922,,,,,,,,,
453,978,,,,,,,,,
922,924,,,,,,,,,
2240,2039,,,,,,,,,
892,2283,,,,,,,,,
2483,731,,,,,,,,,
2117,1600,,,,,,,,,
921,923,,,,,,,,,
2422,2522,1354.0,2117.0,,,,,,,
129,824,,,,,,,,,
2474,2474,,,,,,,,,
800,163,2528.0,2287.0,2424.0,,,,,,
660,2417,,,,,,,,,
2056,2523,,,,,,,,,
2240,917,,,,,,,,,
2411,1291,1600.0,,,,,,,,
1408,2336,2158.0,2019.0,,,,,,,
218,2183,,,,,,,,,
2072,1418,234.0,,,,,,,,
2736,2732,,,,,,,,,
2424,234,,,,,,,,,
2364,2782,,,,,,,,,
223,2142,,,,,,,,,
892,894,,,,,,,,,
884,224,,,,,,,,,
919,924,,,,,,,,,
2502,70,2416.0,663.0,,,,,,,
1827,1827,,,,,,,,,
2422,2275,2483.0,2522.0,,,,,,,
818,2420,,,,,,,,,
2377,2054,922.0,1983.0,2475.0,,,,,,
215,150,163.0,166.0,194.0,219.0,,,,,
